source_id,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,fem_gspspec,fem_gspspec_lower,fem_gspspec_upper,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,ecl_lon,ecl_lat
4705628051386514304,0.2145,0.2144,0.2147,3083.671,3083.4272,3084.0486,5.0561,5.0558,5.0564,,,,16.02568403467347,-65.37498961991618,12.447152,14.21399,11.18092,12.4168,12.4116,12.4244,327.40600893756465,-61.618005833040534
5264749303462961280,1.0143,1.0124,1.0161,5495.937,5491.775,5502.065,4.3686,4.3664,4.3713,-0.08,-0.1,-0.05,92.56235755341913,-74.75398809344104,4.9001403,5.256069,4.368095,10.1964,10.1822,10.2152,265.2921015921755,-81.76478997972156
1923896725839633024,0.5304,0.5161,0.5328,3097.0193,3090.5398,3115.5146,4.0901,4.0747,4.1733,,,,352.35024201314707,41.468345628358556,10.711198,12.141203,9.530979,14.8882,14.7063,14.9384,13.032150713336407,40.3337967108613
3243715604392800512,0.2333,0.2322,0.2445,3201.4258,3200.4153,3207.2202,5.0366,5.0213,5.0392,,,,57.6825473764549,-6.100991036847448,11.477213,13.061828,10.247032,9.9074,9.8673,10.3898,53.889342460413,-25.579826475548593
1284721994948665216,0.743,0.7334,0.7448,4076.1396,4068.449,4106.1274,4.4953,4.4928,4.5116,-0.03,-0.08,0.02,215.48517155062407,29.628244836671932,8.020257,8.751454,7.1926694,14.5399,14.5093,14.5998,200.61854992335304,40.865977044108696
4147112604476417792,0.1458,0.1456,0.1461,2883.7341,2883.2703,2884.1553,5.1855,5.1846,5.186,,,,271.43447434344563,-14.378357625594514,13.255206,15.560583,11.882206,9.4523,9.4462,9.4586,271.4070830423701,9.05391692806914
5260759175761501696,0.4962,0.4893,0.5177,3244.3787,3190.7825,3310.0916,4.3838,4.195,4.54,,,,98.42498690791187,-75.62874086458727,9.3847475,10.694307,8.24563,8.8458,8.8087,8.873,257.20007055176234,-80.55252133911738
3316364602541746048,0.2709,0.2696,0.2735,3138.287,3097.3662,3152.55,4.8382,4.5487,4.9474,,,,90.01597644159976,2.7063740799024933,9.901327,11.5446415,8.654313,5.1996,5.1928,5.2117,90.01708009105478,-20.732905805284144
4075141768785646848,0.2161,0.2148,0.2168,3117.376,3109.027,3130.4165,4.776,4.7257,4.8568,,,,282.4587890175222,-23.83709744872712,9.126414,10.732183,7.898147,2.9762,2.9738,2.9895,281.38253588521553,-0.8887633500980667
5481843025342799104,0.4591,0.4581,0.4596,3006.2886,3005.0742,3011.082,4.109,4.1042,4.128,,,,96.4834930044876,-60.05701848235131,11.032926,12.594013,9.814856,13.4344,13.4284,13.4532,117.058090575099,-82.88276994082945
